Date,Open,High,Low,Close,Adj Close,Volume
2008-10-03,41.299999,41.685001,39.400002,40.525002,29.296358,185090
2008-10-06,39.700001,40.799999,37.200001,39.564999,28.602345,204340
2008-10-07,40.000000,40.599998,36.000000,36.119999,26.111885,128970
2008-10-08,35.000000,44.400002,34.500000,40.880001,29.552996,700490
2008-10-10,40.400002,40.400002,35.299999,37.910000,27.405914,367380
2008-10-13,37.500000,45.000000,37.500000,38.639999,27.933651,196430
2008-10-14,40.000000,41.400002,39.794998,40.474998,29.260208,110030
2008-10-15,39.994999,39.994999,38.500000,39.115002,28.277044,239150
2008-10-16,35.000000,39.290001,35.000000,38.514999,27.843283,158140
2008-10-17,39.799999,40.000000,36.299999,38.584999,27.893888,177890
2008-10-20,36.705002,39.000000,35.599998,38.349998,27.724005,207510
2008-10-21,38.500000,38.865002,37.910000,38.040001,27.499895,242630
2008-10-22,35.400002,38.099998,35.000000,36.915001,26.686609,302140
2008-10-23,35.025002,36.799999,35.025002,35.599998,25.735970,266490
2008-10-24,35.500000,35.500000,28.900000,29.905001,21.618940,334880
2008-10-27,29.799999,29.799999,24.000000,27.080000,19.576689,254420
2008-10-29,27.799999,28.400000,25.200001,26.555000,19.197155,508830
2008-10-31,26.299999,27.900000,26.100000,26.965000,19.493551,263650
2008-11-03,27.410000,37.000000,27.410000,34.494999,24.937147,731450
2008-11-04,32.500000,36.384998,30.209999,35.709999,25.815489,542780
2008-11-05,36.200001,39.900002,34.200001,36.705002,26.534800,984910
2008-11-06,34.115002,35.994999,34.000000,34.160000,24.694958,194730
2008-11-07,33.500000,35.500000,32.235001,34.299999,24.796171,161440
2008-11-10,35.500000,36.500000,34.500000,35.415001,25.602228,177030
2008-11-11,34.599998,35.415001,33.500000,34.029999,24.600975,70440
2008-11-12,35.000000,35.000000,31.500000,32.055000,23.173218,172700
2008-11-14,32.400002,33.480000,31.000000,31.594999,22.840672,176190
2008-11-17,31.600000,31.700001,29.600000,29.844999,21.575560,115970
2008-11-18,29.500000,29.500000,28.299999,28.475000,20.585161,64820
2008-11-19,28.200001,29.025000,27.250000,27.855000,20.136951,69550
2008-11-20,26.200001,27.400000,25.004999,26.200001,18.940517,68990
2008-11-21,25.000000,29.980000,25.000000,26.510000,19.164623,147230
2008-11-24,26.400000,27.350000,25.700001,26.084999,18.857380,62440
2008-11-25,27.400000,27.400000,25.000000,25.600000,18.506763,57780
2008-11-26,25.995001,26.500000,24.700001,25.305000,18.293507,133590
2008-11-27,null,null,null,null,null,null
2008-11-28,24.605000,29.840000,24.450001,27.040001,19.547773,378630
2008-12-01,27.520000,28.000000,25.549999,26.475000,19.139324,225920
2008-12-02,25.500000,26.350000,24.000000,25.645000,18.539295,130790
2008-12-03,25.299999,25.690001,23.825001,24.125000,17.440453,226080
2008-12-04,24.200001,25.250000,24.200001,24.750000,17.892281,158020
2008-12-05,24.990000,25.400000,24.100000,24.430000,17.660952,112580
2008-12-08,25.275000,25.875000,24.004999,24.285000,17.556124,70100
2008-12-10,24.850000,25.049999,24.400000,24.650000,17.819990,102670
2008-12-11,24.900000,25.995001,24.719999,25.290001,18.282660,176560
